,Tweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Label
0,"TOP! Program Digitalisasi Presiden Jokowi Berhasil. Perdagangan Melalui Sistem Elektronik PMSE yang Mencapai Rp8,2 Triliun.  #jokowikerja #jokowi #indonesia #news #politik #jokowidodo #jokowipresidenku #jokowikerja #jokowihebat #jokowi  https://t.co/4sHIvIme6N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
1,Bukan tanpa alasan Indonesia terpelihara tuan rumah G20. Indonesia sudah biasa menghadapi keragaman budaya .  Pak Jokowi Gas Pol Diplomasi Internasional  https://t.co/PA0uMiKvyQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
2,@SomarwaneSefnat @jokowi Beuuuuhhhhh pokoknya jokowiiiiiiii lah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
3,"@abdramdani @Takkenalmakata heeh ngatur, jokowi ge lain nya dan🤣",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
4,"@jokowi Selamat pak kontrol kontrol kerja anak buah semoga bisa tembus hulu  sampai hilir Presiden sampai RT,bisa kontrol transparansi PASTI NEGERI INI SEJAHTERA ADIL MAKMUR",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
5,Pesan dari Hacker bjorka untuk Presiden Jokowi :  https://t.co/EYDaAEdgE5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
6,@mohmahfudmd @ListyoSigitP @CCICPolri @DivHumas_Polri @jokowi  https://t.co/HL5INhHfvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
7,@XiaoMei_99 Apapun demo nya judulnya lengserkan jokowi..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
8,@jokowi Selamat datang di Pulau Kei Pak Jokowi dan Ibu😊  https://t.co/x5WK1evwX5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
9,@AliNgabalinNew Kami sdh muak. Turunkan jokowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
10,"Aku menemukan sebuah paradoks,bahwa jika kau mencintai Jokowi sampai kau merasa sakit,maka tak akan ada lagi rasa sakit,yang ada hanya cinta dan cinta lagi🌻",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
11,"Presiden Joko Widodo (Jokowi) membentuk tim darurat untuk mengatasi serangan siber, termasuk yang dilakukan oleh peretas (hacker) Bjorka. @PlateJohnny  @kemkominfo   https://t.co/gI0FCOgLc2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
12,Percepat proses penyaluran BSU bagi pekerja turut senang 👍👍  Terimakasih pak Jokowi 👍  https://t.co/Hcm3IXFeHu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pro
13,"@Mencaricinta99 Polisi mana polisi, yg ngaku NKRI mana.. @DivHumas_Polri , @mohmahfudmd @ListyoSigitP @jokowi tuuh apa mau dibiarin aja polisi brengsek ini..?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
14,"menyepakati pengusulan tiga nama calon Pj Gubernur DKI Jakarta untuk diserahkan kpd Bapak Presiden @jokowi. Masing-masing Kepala Sekretariat Presiden Heru Budi Hartono, Sekretaris Daerah (Sekda) DKI Marullah Matali, serta Dirjen Politik dan Pemerintahan Umum Kemendagri Bahtiar.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
15,@kumparan @jokowi pala nenek kaw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kontra
16,"Ada yg udah sempat menghitung, berapa ratus kali demo utk lengserkan Jokowi..? Ada yang berhasil..?? . .  https://t.co/817vFYZc68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
17,@mamang_opik @tvOneNews @mohmahfudmd @jokowi ?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
18,@budimandjatmiko Dan @Kemenag_RI @YaqutCQoumas @jokowi di buat tak berdaya oleh mayoritas dan sebuah ormas??!🤥🥱🤔sungguh terlaluuu..?!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netral
