tweet,label
"@dhyanuarti @FerdinandHutah4 @YoutubeILC @ganjarpranowo @jokowi @gibran_tweet Benar sah aja sik warga Indonesia mo milih siapa aja, tapi boleh dong nanya, kebijakan Pak Jokowi yg mana, yg smpe Mba minta Pak Jokowi 3 periode?",Netral
"@dhyanuarti @ViviTanxx @FerdinandHutah4 @YoutubeILC @ganjarpranowo @jokowi @gibran_tweet Hari gini masi mikir kuota Mba, bukannya sejahtera jaman Pak Jokowi, makanya minta 3 periode?",Pro
@caul_tanjung Majulah sampai 3 Periode bapak Jokowi agar negara ini smakin maju serta adil makmur,Pro
"@awemany Jokowi paling josss sbg presiden ,,, Bemokarat mangkrak  Salam 3 periode",Pro
@ChusnulCh__ @ganjarpranowo Dari Jokowi. Sampe Ganjar Pranowo...survey akal akalan ...he he .. oligarki pengen 3 periode,Kontra
@muhtaramadhan jokowi 3 periode,Netral
@sapulidi95 Makanya jokowi trs di up buat 3 periode atau jd wapres😆😀,Netral
Mengembalikan kejayaan bangsa pelaut! HIDUP JOKO WIDODO @jokowi ! Mari 3 Periode! Ehh! Hahaha🤩🤩🤩 Langsungg pada jenggot kebakaran deh!!!!,Pro
@ntrahman2013 @HelmiFelis_ Bela rakyat yg mana?... ngimpi!!!... Lha wong rakyat malah dukung Jokowi 3 Periode... Drun... drun...,Pro
"@jokowi Titip jejak dulu, lanjutkan pak pokoknya 3 periode",Pro
"@SisiwittFrida @jokowi @tolak3periode Yup, emang kita kawal. Tapi yang minta tiga periode itu masyarakat loh bukan beliau. Hanya saja masyarakat yg baik tahu hukum dan konstitusi. Pun beliau taat hukum dan gak minat.  Gak ada jalannya buat tiga periode. T",Netral
"Untuk semua kebijakan yg dibuat di indonesia, saya sudah ikhlas, hidup saya serahkan pada Allah. Mau kompor induksi kek, mobil listrik kek, jokowi 3 periode kek, aku gapapa, gapapa.",Netral
@caul_tanjung Salam 3 periode pak jokowi biar kadrun tambah modarrrr😁😁😁,Kontra
"@didienAZHAR Yg sinting jelas yg ketakutan kalau-kalau pak jokowi nyalon lagi, shg pasti kalah lagi. PAdahal dah tegas penyataan jokowi. Dah gitu dari celah mana aja gak mungkin bisa calon 3 periode.Takut kalah yaa takut aja, gak usah banyak cingcong",Pro
MOHON PENGAMPUNAN KEPADA PRESIDEN JOKOWI  MENDUKUNG 3 PERIODE. ATAU WAPRES? BGM BAIK?  NAZAR UMR SUDAH DIJALANKAN SEJAK 9 SEPT 2022   @LambeTurahTweet  @agnesbeatahenny  @Bjorkanism_  @CIA  @Pontifex  @China2ASEAN  @PolandMFA  @,Netral
@CNNIndonesia Jokowi tidak bisa 3 periode mangkanya ngomong gitu wkwkwk,Kontra
@didienAZHAR Situ baca berita gak bro .??  Kalo engga baca coba liat tipi di kelurahan....  Jadi ngerti kalo pak Jokowi gak mau 3 periode...  Paham...!!!,Netral
"@Di4ntara Wiiikkh.., iyo kah..?? Luar binasa, padahal slama ini sya suuzon klo qm pendukung setia Pak jokowi 3 periode..🤣 Alhamdulillah Punya Presiden tapi seperti tk punya..😭",Kontra
@SisiwittFrida @jokowi Seandainya diizinkan 3 periode apakah siap bertarung dengan Bapak @jokowi ? Nah dari sini akan ketauan rakyat lebih milih yg mana ?,Netral
@caul_tanjung Desakan Jokowi Turun makin Viral.. Jokowi 3 Periode makin membahenol 🤣🤣🤣🤣🤣  https://t.co/sPJNXMxTZv,Netral
Pak Prabowo yang ganteng! Kemungkinan besar yang buat baliho gambar anda duet dengan Pak Jokower adalah gerombolan kecebong yang ingin Pak Jokowi 3 periode 🤣,Kontra
"@ADerijanto @HerwandiRuswan @msaid_didu Lu lah karena Jokowi sdh2 priode, bahasa lu spill gw utk 3 periode. 🤣🤣🤣Akut",Kontra
"@ApriyatnaYudi @HelmiFelis_ Saya tetap dukung 3 periode   ""Jokowi-prabowo"" biar kadrun kepanasan",Pro
"@SutanMangaraHrp @sutanmangara Org bilng 3 periode mah bebas, kan yg pnting JOKOWI UDH jwb beberapa kali KLO DIA g mau 3 PERIODE,  Situ sih baperan tntng 3 periode",Netral
"@CNNIndonesia Hidup jokowi, lanjutkan 3 periode, kl bisa seumur hidup",Pro
"@RoesianaM @SofianBrahmana @SisiwittFrida @jokowi @tolak3periode Dia yg paling sibuk atau budek sudah dibilang ber kali2 msh gak ngerti kalau mau tolak 3 periode teriaknya di MPR  Rakyat menyuarakan pendptnya dibilang inkonstitusional,kalau ada yg mau tur",Pro
Pak Jokowi sdh jelas taat pada konstitusi dan menolak usulan 3 periode. Kadrun sdh tdk punya bahan lagi utk menyerang pak Jokowi. Jadi yg TOLOL siapa ?,Pro
"@JohanIkmal @wawan_kiply @didienAZHAR Yg sinting itu yg ketakutan kl @jokowi 3 periode, padahal jelas ga bakalan terjadi.. 🤣🤣🤣",Pro
